"Countries, territories and areas",Year, Both sexes, Male, Female, Both sexes.1, Male.1, Female.1, Both sexes.2, Male.2, Female.2,Code
Kyrgyzstan,2005,29.6 [23.5-35.6],54.6 [42.5-66.7],4.5 [4.5-4.5],27.2 [21.6-32.7],49.8 [40.1-59.6],4.5 [3.2-5.9],23.9 [19.2-28.7],44.1 [35.7-52.4],3.8 [2.7-4.9],417
Lao People's Democratic Republic,2005,44.2 [34.8-53.6],63.8 [51.6-75.9],24.6 [17.9-31.3],39.0 [31.5-46.6],63.8 [51.6-75.9],14.3 [11.4-17.3],33.5 [24.9-42.1],56.0 [42.0-69.9],11.0 [7.7-14.2],418
Latvia,2005,42.4 [35.2-49.6],58.8 [49.3-68.2],26.0 [21.1-31.0],39.6 [32.9-46.3],54.9 [45.6-64.3],24.2 [20.2-28.3],35.6 [27.3-43.9],49.4 [37.3-61.4],21.8 [17.3-26.3],428
Lebanon,2005,35.6 [27.7-43.6],41.5 [32.2-50.8],29.8 [23.2-36.4],35.6 [27.7-43.6],41.5 [32.2-50.8],29.8 [23.2-36.4],29.1 [20.8-37.4],36.0 [25.7-46.4],22.1 [15.8-28.4],422
Lesotho,2005,29.4 [21.4-37.5],46.2 [35.3-57.1],12.7 [7.5-17.8],21.5 [15.8-27.3],42.4 [31.2-53.7],0.6 [0.4-0.9],16.5 [12.2-20.8],32.7 [24.2-41.2],0.3 [0.2-0.4],426
Liberia,2005,14.6 [9.3-19.9],24.4 [15.6-33.2],4.8 [3.0-6.7],12.2 [7.7-16.6],20.9 [13.6-28.2],3.4 [1.8-5.0],9.3 [6.2-12.4],17.7 [12.0-23.5],0.9 [0.5-1.3],430
Lithuania,2005,39.9 [31.9-47.8],54.9 [44.1-65.7],24.8 [19.8-29.9],32.9 [27.0-38.8],45.7 [37.5-53.9],20.1 [16.5-23.8],30.1 [23.8-36.4],42.5 [33.7-51.2],17.8 [14.0-21.6],440
Luxembourg,2005,28.2 [22.9-33.4],32.4 [26.2-38.6],23.9 [19.5-28.3],28.2 [22.9-33.4],32.4 [26.2-38.6],23.9 [19.5-28.3],25.0 [19.5-30.4],29.4 [23.1-35.7],20.5 [15.8-25.1],442
Madagascar,2005,43.9 [29.1-58.8],53.6 [36.5-70.7],34.2 [21.6-46.8],19.5 [14.2-24.8],36.6 [27.0-46.2],2.4 [1.5-3.3],16.6 [12.5-20.7],31.4 [23.8-38.9],1.9 [1.2-2.6],450
Malawi,2005,19.4 [14.9-23.9],29.6 [23.0-36.2],9.2 [6.8-11.6],16.9 [13.6-20.2],28.8 [23.6-33.9],5.1 [3.5-6.6],13.3 [10.6-16.0],25.1 [20.4-29.8],1.5 [0.9-2.2],454
Malaysia,2005,28.2 [22.2-34.2],52.9 [41.9-64.0],3.4 [2.5-4.3],26.5 [21.4-31.6],50.9 [41.1-60.6],2.1 [1.6-2.7],23.0 [17.3-28.7],44.2 [33.5-55.0],1.8 [1.2-2.4],458
Maldives,2005,37.6 [26.7-48.5],55.1 [41.3-68.9],20.1 [12.1-28.2],33.0 [24.2-41.7],55.1 [41.3-68.9],10.8 [7.1-14.5],25.4 [19.9-31.0],46.9 [37.4-56.5],4.0 [2.4-5.6],462
Mali,2005,14.0 [10.7-17.4],25.0 [19.1-30.8],3.1 [2.2-4.1],10.9 [8.3-13.5],20.2 [15.5-25.0],1.6 [1.1-2.1],9.5 [7.6-11.4],18.4 [14.8-22.0],0.5 [0.3-0.7],466
Malta,2005,30.7 [25.1-36.4],37.3 [30.6-44.0],24.2 [19.6-28.8],30.7 [25.1-36.4],37.3 [30.6-44.0],24.2 [19.6-28.8],27.7 [21.4-33.9],34.5 [27.2-41.8],20.9 [15.7-26.0],470
Marshall Islands,2005,27.8 [21.5-34.2],46.5 [36.2-56.8],9.2 [6.8-11.5],22.4 [16.9-27.9],39.3 [29.8-48.9],5.5 [4.1-7.0],18.6 [14.2-23.1],32.8 [25.2-40.4],4.5 [3.2-5.8],584
Mauritania,2005,18.1 [13.0-23.1],30.8 [22.2-39.4],5.3 [3.7-6.8],11.3 [7.8-14.7],20.0 [14.0-26.1],2.5 [1.6-3.3],10.3 [7.3-13.3],18.6 [13.3-24.0],2.0 [1.3-2.7],478
Mauritius,2005,24.1 [19.2-28.9],43.8 [35.0-52.6],4.3 [3.3-5.3],24.1 [19.2-28.9],43.8 [35.0-52.6],4.3 [3.3-5.3],21.7 [17.5-26.0],39.6 [31.9-47.3],3.8 [3.0-4.7],480
Mexico,2005,20.6 [17.3-23.9],30.7 [25.8-35.5],10.6 [8.8-12.4],20.6 [17.3-23.9],30.7 [25.8-35.5],10.6 [8.8-12.4],19.0 [15.5-22.4],28.2 [23.1-33.4],9.7 [7.9-11.4],484
Mongolia,2005,32.2 [25.1-39.3],56.1 [43.9-68.4],8.2 [6.3-10.1],30.0 [23.3-36.8],52.5 [40.7-64.3],7.6 [5.8-9.3],28.0 [21.6-34.4],49.0 [37.9-60.1],7.0 [5.3-8.7],496
Montenegro,2005,36.7 [22.1-51.4],38.0 [23.4-52.5],35.5 [20.7-50.3],36.7 [22.1-51.4],38.0 [23.4-52.5],35.5 [20.7-50.3],34.3 [19.6-49.0],36.3 [20.3-52.3],32.4 [19.0-45.7],499
Morocco,2005,18.3 [14.9-21.8],34.4 [28.2-40.5],2.2 [1.5-3.0],18.3 [14.9-21.8],34.4 [28.2-40.5],2.2 [1.5-3.0],15.1 [11.7-18.4],28.7 [22.7-34.7],1.4 [0.8-2.0],504
Myanmar,2005,60.5 [49.1-71.9],79.8 [64.2-95.5],41.2 [34.1-48.4],33.2 [25.7-40.8],53.0 [42.0-64.1],13.4 [9.4-17.5],24.2 [16.3-32.1],41.8 [29.1-54.6],6.5 [3.5-9.5],104
Namibia,2005,22.6 [18.1-27.1],31.0 [25.1-36.8],14.3 [11.0-17.5],18.9 [15.0-22.7],27.2 [21.7-32.6],10.5 [8.2-12.8],17.4 [13.7-21.1],27.2 [21.7-32.6],7.6 [5.7-9.5],516
Nauru,2005,59.6 [46.9-72.2],55.2 [43.6-66.9],63.9 [50.2-77.5],54.4 [40.7-68.1],51.1 [38.2-63.9],57.8 [43.2-72.4],43.5 [26.8-60.2],40.4 [25.3-55.5],46.6 [28.3-64.9],520
Nepal,2005,54.5 [45.1-63.8],67.5 [56.7-78.3],41.5 [33.6-49.4],33.7 [27.6-39.9],41.7 [34.2-49.1],25.8 [21.0-30.6],30.0 [23.8-36.2],37.4 [29.8-45.1],22.6 [17.9-27.3],524
Netherlands (Kingdom of the),2005,30.7 [25.8-35.7],33.4 [28.3-38.6],28.0 [23.3-32.8],30.7 [25.8-35.7],33.4 [28.3-38.6],28.0 [23.3-32.8],26.4 [19.4-33.4],28.3 [20.0-36.5],24.5 [18.7-30.3],
New Zealand,2005,24.8 [20.6-28.9],25.8 [21.7-29.9],23.8 [19.6-28.0],24.8 [20.6-28.9],25.8 [21.7-29.9],23.8 [19.6-28.0],23.4 [20.1-26.8],24.2 [20.8-27.5],22.7 [19.3-26.2],554
Niger,2005,9.1 [6.4-11.7],15.9 [11.4-20.3],2.3 [1.4-3.1],7.5 [5.2-9.8],13.7 [9.7-17.7],1.2 [0.7-1.8],6.5 [4.5-8.4],12.9 [9.0-16.7],0 [0-0.1],562
Nigeria,2005,8.1 [5.0-11.1],14.7 [9.2-20.2],1.4 [0.8-2.0],5.8 [4.3-7.3],10.9 [8.2-13.7],0.7 [0.4-0.9],4.8 [3.7-5.9],9.3 [7.2-11.4],0.3 [0.2-0.4],566
Norway,2005,34.6 [29.2-39.9],35.7 [30.2-41.1],33.4 [28.1-38.8],34.6 [29.2-39.9],35.7 [30.2-41.1],33.4 [28.1-38.8],26.5 [16.5-36.6],26.6 [16.2-37.1],26.4 [16.8-36.0],578
Oman,2005,7.7 [6.3-9.0],14.8 [12.2-17.3],0.6 [0.4-0.8],6.7 [5.2-8.2],12.8 [10.0-15.6],0.5 [0.3-0.8],5.3 [4.2-6.4],10.4 [8.4-12.5],0.2 [0.1-0.2],512
Pakistan,2005,33.1 [25.5-40.8],50.3 [39.3-61.2],16.0 [11.6-20.4],20.4 [15.8-25.0],33.7 [26.4-41.0],7.1 [5.3-9.0],16.0 [12.1-19.9],28.0 [21.5-34.4],4.0 [2.7-5.4],586
Palau,2005,23.6 [15.4-31.8],35.2 [22.5-47.9],12.1 [8.4-15.8],23.6 [15.4-31.8],35.2 [22.5-47.9],12.1 [8.4-15.8],19.2 [10.5-28.0],28.6 [15.5-41.8],9.8 [5.5-14.1],585
Panama,2005,11.1 [8.8-13.5],18.0 [14.1-21.8],4.3 [3.4-5.2],10.3 [8.0-12.6],16.7 [13.1-20.3],3.9 [3.0-4.9],8.9 [6.7-11.2],14.3 [10.8-17.9],3.5 [2.6-4.4],591
Papua New Guinea,2005,50.2 [37.9-62.5],67.0 [50.2-83.7],33.4 [25.6-41.2],50.2 [37.9-62.5],67.0 [50.2-83.7],33.4 [25.6-41.2],37.2 [25.3-49.1],46.5 [32.0-61.0],27.9 [18.5-37.2],598
Paraguay,2005,23.2 [17.9-28.5],35.7 [27.7-43.7],10.7 [8.2-13.2],23.2 [17.9-28.5],35.7 [27.7-43.7],10.7 [8.2-13.2],19.0 [12.2-25.7],29.2 [18.6-39.9],8.7 [5.9-11.6],600
Peru,2005,24.0 [16.3-31.7],38.7 [25.5-51.9],9.3 [7.0-11.6],24.0 [16.3-31.7],38.7 [25.5-51.9],9.3 [7.0-11.6],21.9 [14.4-29.4],35.7 [22.5-48.9],8.1 [6.4-9.8],604
Philippines,2005,31.7 [26.1-37.4],52.0 [42.7-61.3],11.5 [9.5-13.5],31.7 [26.1-37.4],52.0 [42.7-61.3],11.5 [9.5-13.5],29.2 [23.6-34.8],47.9 [38.7-57.2],10.5 [8.5-12.5],608
Poland,2005,34.6 [27.1-42.0],40.6 [31.7-49.6],28.5 [22.6-34.5],34.6 [27.1-42.0],40.6 [31.7-49.6],28.5 [22.6-34.5],32.2 [25.7-38.7],37.8 [30.4-45.2],26.6 [21.0-32.2],616
Portugal,2005,25.7 [20.6-30.9],35.2 [28.5-41.8],16.3 [12.7-19.9],25.7 [20.6-30.9],35.2 [28.5-41.8],16.3 [12.7-19.9],23.0 [17.5-28.5],31.3 [23.9-38.6],14.7 [11.0-18.4],620
Qatar,2005,12.7 [9.4-16.0],22.7 [16.9-28.5],2.7 [1.8-3.5],11.3 [6.6-16.0],20.2 [12.0-28.4],2.4 [1.2-3.6],9.0 [6.1-11.9],15.9 [11.0-20.8],2.1 [1.2-3.0],634
Republic of Korea,2005,30.9 [25.6-36.3],55.0 [45.6-64.3],6.9 [5.5-8.2],30.9 [25.6-36.3],55.0 [45.6-64.3],6.9 [5.5-8.2],29.3 [23.9-34.7],52.1 [42.7-61.5],6.5 [5.1-7.9],
Republic of Moldova,2005,26.1 [20.5-31.6],45.9 [36.2-55.6],6.2 [4.8-7.5],24.4 [19.6-29.1],43.3 [34.8-51.8],5.4 [4.5-6.4],22.4 [17.9-27.0],39.8 [31.8-47.8],5.0 [4.0-6.1],498
Romania,2005,35.3 [29.1-41.6],46.0 [38.8-53.3],24.7 [19.5-29.9],35.1 [29.3-40.8],46.0 [38.8-53.3],24.1 [19.9-28.3],31.6 [25.3-37.8],41.6 [33.8-49.5],21.5 [16.7-26.2],642
Russian Federation,2005,31.6 [26.9-36.3],50.3 [43.0-57.6],13.0 [10.9-15.1],31.6 [26.9-36.3],50.3 [43.0-57.6],13.0 [10.9-15.1],31.2 [25.8-36.5],49.5 [41.1-57.9],12.8 [10.6-15.0],643
Rwanda,2005,21.2 [13.7-28.7],30.1 [19.4-40.8],12.3 [8.0-16.6],16.6 [10.8-22.4],27.9 [18.6-37.2],5.4 [3.1-7.7],9.9 [6.2-13.6],18.6 [11.8-25.5],1.2 [0.7-1.7],646
Saint Lucia,2005,18.3 [11.7-25.0],30.7 [19.8-41.6],5.9 [3.5-8.3],18.3 [11.7-25.0],30.7 [19.8-41.6],5.9 [3.5-8.3],15.2 [9.4-21.1],25.6 [15.7-35.5],4.8 [3.0-6.6],662
Samoa,2005,36.1 [28.3-43.9],51.2 [40.5-62.0],21.0 [16.1-25.9],34.6 [27.7-41.5],48.9 [39.7-58.2],20.2 [15.6-24.8],28.9 [21.1-36.7],40.8 [29.8-51.9],17.0 [12.5-21.5],882
Sao Tome and Principe,2005,7.2 [5.1-9.3],11.2 [8.1-14.3],3.2 [2.1-4.4],5.7 [3.8-7.7],9.6 [6.6-12.7],1.8 [1.0-2.7],3.8 [2.4-5.2],6.8 [4.4-9.2],0.9 [0.5-1.3],678
Saudi Arabia,2005,14.3 [11.2-17.4],25.4 [20.2-30.6],3.1 [2.2-4.1],12.9 [9.7-16.1],22.6 [17.2-28.0],3.1 [2.2-4.1],10.0 [6.9-13.1],17.2 [12.1-22.4],2.8 [1.8-3.8],682
Senegal,2005,12.3 [9.4-15.3],23.3 [17.8-28.8],1.3 [0.9-1.8],10.5 [8.5-12.5],20.0 [16.3-23.7],1.0 [0.7-1.3],8.8 [6.7-10.8],17.0 [13.2-20.9],0.5 [0.3-0.7],686
Serbia,2005,43.7 [35.8-51.6],48.4 [39.8-57.1],38.9 [31.8-46.1],43.7 [35.8-51.6],48.4 [39.8-57.1],38.9 [31.8-46.1],40.4 [31.8-49.0],44.8 [35.5-54.1],36.0 [28.1-43.9],688
Seychelles,2005,27.6 [20.2-35.0],41.4 [31.0-51.7],13.8 [9.3-18.2],23.6 [18.0-29.2],39.1 [30.1-48.1],8.1 [5.9-10.3],20.5 [15.7-25.2],34.4 [26.7-42.0],6.5 [4.7-8.4],690
Sierra Leone,2005,31.0 [23.1-38.9],50.1 [38.5-61.7],12.0 [7.7-16.2],28.5 [22.5-34.6],48.9 [39.2-58.7],8.1 [5.7-10.5],25.0 [19.4-30.6],43.8 [34.5-53.1],6.2 [4.2-8.2],694
Singapore,2005,16.8 [14.0-19.6],28.1 [23.6-32.6],5.5 [4.5-6.6],16.8 [14.0-19.6],28.1 [23.6-32.6],5.5 [4.5-6.6],14.6 [11.5-17.7],24.4 [19.3-29.5],4.9 [3.8-5.9],702
Slovakia,2005,31.9 [24.8-38.9],41.8 [32.6-50.9],22.0 [17.0-27.0],31.9 [24.8-38.9],41.8 [32.6-50.9],22.0 [17.0-27.0],26.9 [20.0-33.7],35.7 [26.9-44.6],18.0 [13.1-22.9],703
Slovenia,2005,24.3 [19.6-28.9],26.6 [21.5-31.6],22.0 [17.6-26.3],24.3 [19.6-28.9],26.6 [21.5-31.6],22.0 [17.6-26.3],22.7 [18.0-27.4],24.9 [19.7-30.1],20.5 [16.3-24.6],705
Solomon Islands,2005,41.6 [31.7-51.5],58.6 [44.8-72.4],24.6 [18.6-30.5],41.6 [31.7-51.5],58.6 [44.8-72.4],24.6 [18.6-30.5],34.2 [24.3-44.1],48.8 [35.5-62.1],19.6 [13.1-26.2],090
South Africa,2005,22.7 [18.3-27.1],35.2 [28.3-42.1],10.2 [8.3-12.1],22.7 [18.3-27.1],35.2 [28.3-42.1],10.2 [8.3-12.1],18.5 [13.5-23.5],28.9 [21.3-36.6],8.1 [5.8-10.4],710
Spain,2005,33.3 [27.5-39.1],39.0 [32.4-45.7],27.6 [22.6-32.5],33.3 [27.5-39.1],39.0 [32.4-45.7],27.6 [22.6-32.5],31.0 [24.6-37.4],36.5 [28.9-44.1],25.5 [20.3-30.7],724
Sri Lanka,2005,27.0 [21.5-32.4],47.3 [38.1-56.5],6.7 [5.0-8.4],15.3 [12.4-18.2],29.6 [24.1-35.1],1.0 [0.7-1.3],10.2 [7.2-13.3],19.9 [14.1-25.7],0.6 [0.3-0.8],144
Sweden,2005,39.4 [32.4-46.5],45.1 [36.7-53.5],33.7 [28.0-39.4],26.6 [21.9-31.4],25.5 [20.7-30.3],27.8 [23.0-32.5],19.8 [14.0-25.6],16.3 [11.6-21.1],23.3 [16.5-30.1],752
Switzerland,2005,27.6 [22.8-32.4],31.6 [26.2-37.1],23.6 [19.4-27.7],27.6 [22.8-32.4],31.6 [26.2-37.1],23.6 [19.4-27.7],23.9 [17.5-30.3],27.4 [20.0-34.9],20.4 [15.0-25.8],756
Turkiye,2005,32.8 [27.2-38.4],49.9 [41.3-58.5],15.7 [13.1-18.2],32.8 [27.2-38.4],49.9 [41.3-58.5],15.7 [13.1-18.2],30.9 [25.1-36.7],46.8 [38.1-55.6],15.0 [12.2-17.8],
Thailand,2005,24.4 [20.6-28.3],46.2 [39.0-53.4],2.7 [2.2-3.2],24.4 [20.6-28.3],46.2 [39.0-53.4],2.7 [2.2-3.2],22.9 [19.1-26.8],43.4 [36.1-50.6],2.5 [2.0-2.9],764
Timor-Leste,2005,49.6 [37.6-61.5],81.2 [64.1-98.3],18.0 [11.2-24.7],40.3 [29.5-51.0],72.1 [53.9-90.4],8.4 [5.1-11.7],38.8 [28.7-48.9],72.1 [53.9-90.4],5.5 [3.6-7.5],626
Togo,2005,12.7 [7.9-17.4],21.6 [13.6-29.5],3.7 [2.2-5.3],9.3 [6.3-12.3],17.5 [11.9-23.0],1.0 [0.6-1.5],7.2 [4.7-9.6],14.1 [9.3-18.8],0.3 [0.1-0.4],768
Tonga,2005,32.7 [25.0-40.4],51.3 [39.1-63.4],14.1 [10.9-17.4],32.7 [25.0-40.4],51.3 [39.1-63.4],14.1 [10.9-17.4],28.4 [20.4-36.4],44.1 [31.1-57.0],12.8 [9.8-15.8],776
Tunisia,2005,27.1 [21.0-33.3],50.8 [39.6-62.1],3.5 [2.4-4.5],27.1 [21.0-33.3],50.8 [39.6-62.1],3.5 [2.4-4.5],24.6 [19.0-30.3],47.0 [36.5-57.5],2.2 [1.4-3.0],788
Turkmenistan,2005,11.7 [7.0-16.4],22.7 [13.6-31.8],0.6 [0.4-0.9],9.8 [5.8-13.7],18.9 [11.3-26.6],0.6 [0.3-0.9],8.5 [4.9-12.2],16.6 [9.5-23.6],0.5 [0.2-0.8],795
Tuvalu,2005,44.4 [33.2-55.6],63.6 [48.1-79.2],25.2 [18.3-32.1],44.4 [33.2-55.6],63.6 [48.1-79.2],25.2 [18.3-32.1],36.4 [29.1-43.6],52.9 [42.8-62.9],19.9 [15.4-24.3],798
Uganda,2005,19.3 [14.6-24.1],28.1 [21.4-34.8],10.6 [7.7-13.4],17.5 [13.3-21.8],29.1 [22.1-36.0],5.9 [4.4-7.5],14.7 [11.4-18.1],26.5 [20.6-32.3],3.0 [2.1-3.9],800
Ukraine,2005,34.8 [29.1-40.4],56.1 [46.8-65.4],13.4 [11.4-15.5],34.8 [29.1-40.4],56.1 [46.8-65.4],13.4 [11.4-15.5],32.9 [27.2-38.5],52.9 [43.5-62.3],12.8 [10.9-14.8],804
United Arab Emirates,2005,15.9 [10.2-21.6],28.3 [18.5-38.0],3.6 [1.9-5.2],15.9 [10.2-21.6],28.3 [18.5-38.0],3.6 [1.9-5.2],11.5 [5.7-17.4],21.1 [10.4-31.8],2.0 [0.9-3.0],784
United Kingdom of Great Britain and Northern Ireland,2005,30.0 [24.9-35.0],31.4 [25.7-37.1],28.5 [24.1-32.9],30.0 [24.9-35.0],31.4 [25.7-37.1],28.5 [24.1-32.9],26.0 [21.2-30.8],27.5 [22.4-32.7],24.5 [20.1-29.0],826
United Republic of Tanzania,2005,21.5 [15.5-27.5],36.8 [26.9-46.8],6.1 [4.1-8.2],18.9 [13.3-24.6],35.3 [25.1-45.6],2.6 [1.6-3.5],16.2 [11.2-21.2],31.4 [21.8-41.0],1.0 [0.6-1.3],834
United States of America,2005,29.6 [24.3-34.9],35.7 [29.2-42.2],23.5 [19.5-27.6],27.7 [23.5-32.0],32.4 [27.5-37.4],23.0 [19.5-26.5],22.3 [18.7-26.0],24.9 [20.9-28.8],19.8 [16.5-23.1],840
Uruguay,2005,31.3 [26.0-36.6],36.4 [30.3-42.5],26.2 [21.7-30.7],31.3 [26.0-36.6],36.4 [30.3-42.5],26.2 [21.7-30.7],28.9 [23.6-34.3],33.9 [27.9-39.9],23.9 [19.3-28.6],858
Uzbekistan,2005,24.7 [15.9-33.4],47.7 [30.9-64.6],1.6 [0.9-2.2],14.4 [10.7-18.1],27.5 [20.4-34.6],1.3 [0.9-1.7],12.1 [9.5-14.7],23.1 [18.2-28.0],1.0 [0.7-1.4],860
Viet Nam,2005,28.8 [23.7-34.0],53.7 [44.3-63.1],4.0 [3.2-4.8],26.7 [22.1-31.3],51.4 [42.6-60.2],1.9 [1.6-2.3],20.2 [16.7-23.7],39.1 [32.5-45.8],1.3 [0.9-1.6],704
Yemen,2005,26.7 [14.4-38.9],39.3 [21.1-57.6],14.0 [7.7-20.2],22.2 [12.9-31.4],33.2 [19.0-47.4],11.1 [6.9-15.4],15.7 [8.0-23.3],24.8 [13.1-36.4],6.6 [3.0-10.2],887
Zambia,2005,18.2 [14.2-22.2],29.0 [23.3-34.8],7.4 [5.2-9.5],16.1 [12.9-19.3],27.4 [22.1-32.6],4.8 [3.6-5.9],13.6 [10.7-16.5],24.9 [19.8-30.0],2.3 [1.6-3.0],894
Zimbabwe,2005,18.3 [14.1-22.5],32.9 [25.6-40.1],3.7 [2.5-4.9],17.1 [13.4-20.8],32.0 [25.4-38.7],2.2 [1.4-2.9],14.1 [10.7-17.4],27.6 [21.1-34.0],0.6 [0.4-0.9],716
